STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,citizen,Country of citizenship,age,Age class,unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,FOR_STLS,Foreign country and stateless,TOTAL,Total,NR,Number,T,Total,RO,Romania,2024,,231408,,e,estimated,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,FOR_STLS,Foreign country and stateless,TOTAL,Total,NR,Number,T,Total,SE,Sweden,2024,,834339,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,FOR_STLS,Foreign country and stateless,TOTAL,Total,NR,Number,T,Total,SI,Slovenia,2024,,203273,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,FOR_STLS,Foreign country and stateless,TOTAL,Total,NR,Number,T,Total,SK,Slovakia,2024,,62987,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,AT,Austria,2024,,9158750,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,BE,Belgium,2024,,11817096,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,BG,Bulgaria,2024,,6445481,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,CY,Cyprus,2024,,966365,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2024,,10900555,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,DE,Germany,2024,,83456045,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2024,,5961249,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2024,,1374687,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,EL,Greece,2024,,10400720,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,ES,Spain,2024,,48619695,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,FI,Finland,2024,,5603851,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,FR,France,2024,,68467362,,p,provisional,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,HR,Croatia,2024,,3861967,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,HU,Hungary,2024,,9584627,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,IE,Ireland,2024,,5351681,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,IT,Italy,2024,,58971230,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,LT,Lithuania,2024,,2885891,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,LU,Luxembourg,2024,,672050,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,LV,Latvia,2024,,1871882,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,MT,Malta,2024,,563443,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,NL,Netherlands,2024,,17942942,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,PL,Poland,2024,,36620970,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,PT,Portugal,2024,,10639726,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,RO,Romania,2024,,19067576,,e,estimated,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,SE,Sweden,2024,,10551707,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,SI,Slovenia,2024,,2123949,,,,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,SK,Slovakia,2024,,5424687,,,,,
